Fecha,Hora,Fecha y hora,Volumen (ml),Temperatura (°C),Humedad (%),Contexto Adicional
2026-03-16,8:31,2026-03-16 08:31,150,25,65.00%,Sin Contexto Adicional
2026-03-16,9:25,2026-03-16 09:25,350,26,62.00%,Desayuno
2026-03-16,13:45,2026-03-16 13:45,600,30,51.00%,Almuerzo
2026-03-16,15:13,2026-03-16 15:13,180,31,49.00%,Sin Contexto Adicional
2026-03-16,18:45,2026-03-16 18:45,375,27,64.00%,Merienda
2026-03-16,20:08,2026-03-16 20:08,200,27,67.00%,Sin Contexto Adicional
2026-03-16,20:45,2026-03-16 20:45,250,27,69.00%,Sin Contexto Adicional
2026-03-16,22:22,2026-03-16 22:22,120,27,70.00%,Sin Contexto Adicional
2026-03-16,22:45,2026-03-16 22:45,525,27,68.00%,Cena
2026-03-17,11:45,2026-03-17 11:45,350,25,66.00%,Desayuno
2026-03-17,12:02,2026-03-17 12:02,250,26,68.00%,Sin Contexto Adicional
2026-03-17,13:30,2026-03-17 13:30,550,26,71.00%,Almuerzo
2026-03-17,14:38,2026-03-17 14:38,220,25,77.00%,Sin Contexto Adicional
2026-03-17,20:00,2026-03-17 20:00,200,22,86.00%,Sin Contexto Adicional
2026-03-17,21:30,2026-03-17 21:30,655,21,87.00%,Cena
2026-03-17,22:41,2026-03-17 22:41,250,21,87.00%,Sin Contexto Adicional
2026-03-18,7:25,2026-03-18 07:25,230,17,84.00%,Desayuno
2026-03-18,11:45,2026-03-18 11:45,425,21,62.00%,Sin Contexto Adicional
2026-03-18,12:37,2026-03-18 12:37,250,22,60.00%,Sin Contexto Adicional
2026-03-18,13:45,2026-03-18 13:45,600,23,62.00%,Almuerzo
2026-03-18,17:15,2026-03-18 17:15,250,23,64.00%,Merienda
2026-03-18,17:59,2026-03-18 17:59,150,22,65.00%,Sin Contexto Adicional
2026-03-18,18:27,2026-03-18 18:27,120,22,65.00%,Sin Contexto Adicional
2026-03-18,22:30,2026-03-18 22:30,620,19,68.00%,Cena
2026-03-18,23:15,2026-03-18 23:15,200,19,69.00%,Sin Contexto Adicional
2026-03-19,10:45,2026-03-19 10:45,150,21,59.00%,Sin Contexto Adicional
2026-03-19,11:10,2026-03-19 11:10,350,22,58.00%,Desayuno
2026-03-19,11:40,2026-03-19 11:40,150,22,57.00%,Sin Contexto Adicional
2026-03-19,13:30,2026-03-19 13:30,850,23,54.00%,Gimnasio
2026-03-19,15:00,2026-03-19 15:00,550,23,54.00%,Almuerzo
2026-03-19,15:45,2026-03-19 15:45,175,24,54.00%,Sin Contexto Adicional
2026-03-19,17:30,2026-03-19 17:30,275,23,64.00%,Merienda
2026-03-19,18:25,2026-03-19 18:25,200,23,69.00%,Sin Contexto Adicional
2026-03-19,23:15,2026-03-19 23:15,450,22,86.00%,Cena
2026-03-20,12:00,2026-03-20 12:00,300,25,67.00%,Sin Contexto Adicional
2026-03-20,13:45,2026-03-20 13:45,200,26,63.00%,Sin Contexto Adicional
2026-03-20,14:25,2026-03-20 14:25,150,26,63.00%,Sin Contexto Adicional
2026-03-20,15:30,2026-03-20 15:30,200,26,62.00%,Sin Contexto Adicional
2026-03-20,20:00,2026-03-20 20:00,450,24,78.00%,Merienda
2026-03-20,20:15,2026-03-20 20:15,200,24,79.00%,Sin Contexto Adicional
2026-03-20,22:22,2026-03-20 22:22,600,23,81.00%,Cena
2026-03-20,23:50,2026-03-20 23:50,250,23,83.00%,Sin Contexto Adicional
2026-03-21,11:15,2026-03-21 11:15,275,22,94.00%,Sin Contexto Adicional
2026-03-21,12:00,2026-03-21 12:00,300,22,92.00%,Desayuno
2026-03-21,13:30,2026-03-21 13:30,950,23,78.00%,Gimnasio
2026-03-21,15:00,2026-03-21 15:00,475,23,78.00%,Almuerzo
2026-03-21,15:40,2026-03-21 15:40,275,23,78.00%,Sin Contexto Adicional
2026-03-21,19:00,2026-03-21 19:00,500,20,75.00%,Merienda
2026-03-21,22:22,2026-03-21 22:22,275,17,72.00%,Sin Contexto Adicional
2026-03-21,22:35,2026-03-21 22:35,150,17,73.00%,Sin Contexto Adicional
2026-03-21,23:37,2026-03-21 23:37,200,17,76.00%,Sin Contexto Adicional
2026-03-22,10:45,2026-03-22 10:45,400,19,48.00%,Desayuno
2026-03-22,12:12,2026-03-22 12:12,275,20,41.00%,Sin Contexto Adicional
2026-03-22,13:47,2026-03-22 13:47,180,21,42.00%,Sin Contexto Adicional
2026-03-22,14:30,2026-03-22 14:30,550,21,38.00%,Almuerzo
2026-03-22,15:49,2026-03-22 15:49,130,21,36.00%,Sin Contexto Adicional
2026-03-22,19:30,2026-03-22 19:30,300,20,52.00%,Merienda
2026-03-22,20:00,2026-03-22 20:00,220,20,56.00%,Sin Contexto Adicional
2026-03-22,22:00,2026-03-22 22:00,300,20,68.00%,Cena
2026-03-23,10:00,2026-03-23 10:00,400,22,60.00%,Desayuno
2026-03-23,14:00,2026-03-23 14:00,750,23,50.00%,Almuerzo
2026-03-23,18:50,2026-03-23 18:50,550,20,38.00%,Merienda
2026-03-23,20:48,2026-03-23 20:48,375,18,43.00%,Sin Contexto Adicional
2026-03-23,22:30,2026-03-23 22:30,450,17,44.00%,Cena
2026-03-23,22:39,2026-03-23 22:39,300,16,49.00%,Sin Contexto Adicional
2026-03-24,14:00,2026-03-24 14:00,600,22,35.00%,Almuerzo
2026-03-24,14:30,2026-03-24 14:30,175,22,35.00%,Sin Contexto Adicional
2026-03-24,15:30,2026-03-24 15:30,200,22,39.00%,Sin Contexto Adicional
2026-03-24,19:00,2026-03-24 19:00,350,21,46.00%,Merienda
2026-03-24,20:45,2026-03-24 20:45,275,19,51.00%,Sin Contexto Adicional
2026-03-24,23:00,2026-03-24 23:00,420,18,61.00%,Cena
2026-03-25,6:15,2026-03-25 06:15,275,16,64.00%,Sin Contexto Adicional
2026-03-25,7:15,2026-03-25 07:15,350,17,61.00%,Desayuno
2026-03-25,14:00,2026-03-25 14:00,500,22,41.00%,Almuerzo
2026-03-25,14:40,2026-03-25 14:40,280,22,41.00%,Sin Contexto Adicional
2026-03-25,15:19,2026-03-25 15:19,350,23,40.00%,Sin Contexto Adicional
2026-03-25,17:10,2026-03-25 17:10,300,23,40.00%,Sin Contexto Adicional
2026-03-25,17:55,2026-03-25 17:55,475,22,43.00%,Merienda
2026-03-25,21:50,2026-03-25 21:50,450,20,57.00%,Cena
2026-03-25,23:00,2026-03-25 23:00,150,19,61.00%,Sin Contexto Adicional
2026-03-26,11:45,2026-03-26 11:45,325,22,54.00%,Desayuno
2026-03-26,13:30,2026-03-26 13:30,350,23,49.00%,Sin Contexto Adicional
2026-03-26,15:45,2026-03-26 15:45,350,23,48.00%,Sin Contexto Adicional
2026-03-26,18:16,2026-03-26 18:16,475,22,55.00%,Merienda
2026-03-26,22:26,2026-03-26 22:26,600,21,77.00%,Cena
2026-03-26,23:55,2026-03-26 23:55,250,21,81.00%,Sin Contexto Adicional
2026-03-27,12:00,2026-03-27 12:00,550,23,74.00%,Desayuno
2026-03-27,14:30,2026-03-27 14:30,800,23,76.00%,Gimnasio
2026-03-27,15:30,2026-03-27 15:30,500,23,75.00%,Almuerzo
2026-03-27,16:45,2026-03-27 16:45,300,23,75.00%,Sin Contexto Adicional
2026-03-27,18:30,2026-03-27 18:30,575,22,78.00%,Merienda
2026-03-27,23:00,2026-03-27 23:00,470,22,92.00%,Cena
2026-03-27,23:55,2026-03-27 23:55,350,22,90.00%,Sin Contexto Adicional
2026-03-28,12:45,2026-03-28 12:45,350,23,91.00%,Desayuno
2026-03-28,14:00,2026-03-28 14:00,1000,24,89.00%,Gimnasio
2026-03-28,16:00,2026-03-28 16:00,450,24,86.00%,Almuerzo
2026-03-28,17:20,2026-03-28 17:20,225,24,86.00%,Sin Contexto Adicional
2026-03-28,19:00,2026-03-28 19:00,350,23,90.00%,Merienda
2026-03-28,20:30,2026-03-28 20:30,175,23,91.00%,Sin Contexto Adicional
2026-03-28,23:00,2026-03-28 23:00,780,23,92.00%,Cena
2026-04-09,10:00,2026-04-09 10:00,425,17,48.00%,Desayuno
2026-04-09,13:00,2026-04-09 13:00,275,18,52.00%,Sin Contexto Adicional
2026-04-09,13:25,2026-04-09 13:25,250,18,51.00%,Sin Contexto Adicional
2026-04-09,16:30,2026-04-09 16:30,550,19,47.00%,Almuerzo
